,Unnamed: 0,school,rank,school_score,public,name,role,male,title,tenure_track,pred,semester_scraped
0,0,berkeley,2,4.8,1,Ani Adhikari,faculty,,Teaching Professor,True,0.0,Fall 2022
1,1,berkeley,2,4.8,1,David Aldous,faculty,1.0,Professor Emeritus,False,1.0,Fall 2022
2,2,berkeley,2,4.8,1,Peter Bartlett,faculty,,Professor,True,1.0,Fall 2022
3,3,berkeley,2,4.8,1,Thomas Bengtsson,faculty,,Capstone Lecturer,False,1.0,Fall 2022
4,4,berkeley,2,4.8,1,Peter Bickel,faculty,1.0,Professor Emeritus and Professor of the Graduate School,False,1.0,Fall 2022
5,5,berkeley,2,4.8,1,Andrew Bray,faculty,,Associate Teaching Professor,True,1.0,Fall 2022
6,6,berkeley,2,4.8,1,Ben Brown,faculty,,Assistant Adjunct Professor,False,1.0,Fall 2022
7,7,berkeley,2,4.8,1,Jennifer Chayes,faculty,,"Professor and Associate Provost and Dean, Division of Computing, Data Science, and Society",True,0.0,Fall 2022
8,8,berkeley,2,4.8,1,Peng Ding,faculty,,Associate Professor,True,1.0,Fall 2022
9,9,berkeley,2,4.8,1,Sandrine Dudoit,faculty,,Professor,True,0.0,Fall 2022
10,10,berkeley,2,4.8,1,Steven Evans,faculty,,Distinguished Professor,True,1.0,Fall 2022
11,11,berkeley,2,4.8,1,Avi Feller,faculty,,Associate Professor,True,1.0,Fall 2022
12,12,berkeley,2,4.8,1,Will Fithian,faculty,,Associate Professor,True,1.0,Fall 2022
13,13,berkeley,2,4.8,1,Shirshendu Ganguly,faculty,,Associate Professor,True,1.0,Fall 2022
14,14,berkeley,2,4.8,1,Vadim Gorin,faculty,,Associate Professor,True,1.0,Fall 2022
15,15,berkeley,2,4.8,1,Adityanand Guntuboyina,faculty,,Associate Professor,True,None,Fall 2022
16,16,berkeley,2,4.8,1,Alan Hammond,faculty,,Professor,True,1.0,Fall 2022
17,17,berkeley,2,4.8,1,Erin Hartman,faculty,,Assistant Professor,True,0.0,Fall 2022
18,18,berkeley,2,4.8,1,Johnny Hong,faculty,,Lecturer,False,1.0,Fall 2022
19,19,berkeley,2,4.8,1,Giles Hooker,faculty,,Professor and Deputy Chair,True,1.0,Fall 2022
20,20,berkeley,2,4.8,1,Haiyan Huang,faculty,,Professor and Chair,True,0.0,Fall 2022
21,21,berkeley,2,4.8,1,Fletcher Hank Ibser,faculty,,Continuing Lecturer,False,1.0,Fall 2022
22,22,berkeley,2,4.8,1,Eaman Jahani,faculty,,RTG Postdoctoral Scholar and Lecturer,False,1.0,Fall 2022
23,23,berkeley,2,4.8,1,Nicholas P. Jewell,faculty,1.0,Professor Emeritus,False,1.0,Fall 2022
24,24,berkeley,2,4.8,1,Jiantao Jiao,faculty,,Assistant Professor,True,1.0,Fall 2022
25,25,berkeley,2,4.8,1,Michael Jordan,faculty,,Distinguished Professor,True,1.0,Fall 2022
26,26,berkeley,2,4.8,1,Adam Lucas,faculty,,Continuing Lecturer,False,1.0,Fall 2022
27,27,berkeley,2,4.8,1,Michael Mahoney,faculty,,Associate Adjunct Professor,False,1.0,Fall 2022
28,28,berkeley,2,4.8,1,Jon McAuliffe,faculty,,Adjunct Professor,False,1.0,Fall 2022
29,29,berkeley,2,4.8,1,Song Mei,faculty,,Assistant Professor,True,1.0,Fall 2022
30,30,berkeley,2,4.8,1,Rasmus Nielsen,faculty,,Professor,True,1.0,Fall 2022
31,31,berkeley,2,4.8,1,Deborah Nolan,faculty,0.0,Professor Emerita,False,0.0,Fall 2022
32,32,berkeley,2,4.8,1,Christopher Paciorek,faculty,,Adjunct Professor,False,1.0,Fall 2022
33,33,berkeley,2,4.8,1,Fernando Pérez,faculty,,Associate Professor,True,1.0,Fall 2022
